Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2004,10,3.238,2.846,2.602,1.378,1.386,0.170,-0.649,1.098,3.495,2.432,0.244,0.819,0.370,6.720,-1.195,0
2004,11,3.336,2.871,2.525,1.304,1.323,0.121,-0.895,0.988,3.766,2.404,0.346,1.016,0.380,6.700,-1.743,0
2004,12,3.318,3.031,2.633,1.394,1.422,0.211,-0.951,1.040,3.982,2.422,0.398,1.162,0.410,6.660,-1.964,0
2005,1,3.381,3.123,2.748,1.497,1.518,0.289,-0.764,1.179,3.887,2.459,0.375,1.053,0.420,6.650,-1.848,0
2005,2,3.207,2.878,2.621,1.360,1.389,0.157,-0.798,1.040,3.676,2.464,0.257,0.955,0.480,6.680,-1.849,0
2005,3,3.205,2.874,2.649,1.423,1.438,0.226,-0.621,1.126,3.495,2.423,0.225,0.847,0.390,6.670,-1.356,0
2005,4,3.235,2.860,2.601,1.381,1.397,0.194,-0.718,1.071,3.578,2.407,0.259,0.912,0.340,6.680,-1.400,0
2005,5,3.157,2.977,2.631,1.411,1.423,0.216,-0.795,1.091,3.772,2.415,0.346,1.011,0.410,6.720,-1.845,0
2005,6,3.164,2.922,2.569,1.331,1.347,0.125,-0.916,1.003,3.838,2.444,0.353,1.041,0.430,6.640,-1.982,0
2005,7,3.162,2.876,2.586,1.346,1.378,0.171,-0.910,0.983,3.786,2.415,0.290,1.081,0.460,6.620,-1.901,0
2005,8,3.192,2.801,2.570,1.343,1.369,0.169,-0.821,0.990,3.622,2.401,0.231,0.990,0.430,6.690,-1.584,0
2005,9,3.061,2.709,2.504,1.284,1.294,0.085,-0.722,0.993,3.431,2.419,0.205,0.807,0.430,6.680,-1.286,0
2005,10,3.197,2.820,2.569,1.358,1.364,0.158,-0.594,1.113,3.414,2.411,0.251,0.752,0.410,6.750,-1.377,0
2005,11,3.155,2.893,2.559,1.347,1.361,0.163,-0.839,1.027,3.732,2.396,0.334,1.002,0.420,6.700,-1.756,0
2005,12,3.684,3.054,2.689,1.428,1.467,0.245,-0.982,1.036,4.036,2.444,0.365,1.227,0.460,6.650,-1.952,0
2006,1,3.576,3.169,2.821,1.542,1.583,0.346,-0.817,1.176,3.986,2.475,0.348,1.163,0.450,6.610,-1.662,0
2006,2,3.604,2.835,2.565,1.356,1.380,0.195,-0.751,1.042,3.586,2.370,0.270,0.946,0.480,6.700,-1.519,0
2006,3,3.454,3.004,2.757,1.503,1.512,0.268,-0.485,1.260,3.489,2.489,0.247,0.753,0.380,6.710,-1.099,0
2006,4,3.256,2.941,2.682,1.452,1.463,0.244,-0.624,1.158,3.565,2.438,0.259,0.868,0.400,6.720,-1.692,0
2006,5,3.170,2.881,2.553,1.337,1.351,0.150,-0.901,0.990,3.782,2.403,0.328,1.051,0.410,6.690,-1.601,0
2006,6,3.091,2.877,2.540,1.327,1.350,0.161,-0.934,0.971,3.811,2.379,0.337,1.095,0.470,6.670,-1.668,0
2006,7,3.181,2.864,2.563,1.348,1.370,0.177,-0.839,1.013,3.703,2.386,0.301,1.016,0.460,6.620,-1.706,0
2006,8,3.218,2.797,2.574,1.348,1.371,0.168,-0.758,1.019,3.555,2.406,0.223,0.926,0.440,6.590,-1.607,0
2006,9,3.161,2.717,2.546,1.317,1.321,0.095,-0.739,0.989,3.456,2.451,0.171,0.834,0.410,6.660,-1.345,0
2006,10,3.133,2.784,2.507,1.282,1.293,0.080,-0.810,0.987,3.594,2.427,0.277,0.890,0.340,6.690,-1.533,0
2006,11,3.362,3.109,2.731,1.501,1.515,0.300,-0.663,1.223,3.772,2.431,0.378,0.963,0.430,6.730,-1.474,0
2006,12,3.453,3.076,2.701,1.445,1.477,0.253,-0.932,1.072,4.008,2.448,0.375,1.185,0.550,6.720,-1.920,0
2007,1,3.398,2.908,2.591,1.323,1.370,0.150,-1.046,0.931,3.954,2.441,0.317,1.196,0.520,6.670,-1.728,0
2007,2,3.379,2.922,2.649,1.417,1.446,0.242,-0.746,1.088,3.668,2.407,0.273,0.988,0.440,6.650,-1.519,0
2007,3,3.335,2.780,2.528,1.308,1.324,0.119,-0.690,1.045,3.470,2.409,0.252,0.809,0.430,6.750,-1.282,0
2007,4,3.125,2.773,2.515,1.306,1.313,0.112,-0.683,1.045,3.456,2.403,0.258,0.795,0.460,6.800,-1.669,0
2007,5,3.082,2.783,2.485,1.268,1.283,0.081,-0.943,0.920,3.726,2.404,0.298,1.024,0.470,6.710,-1.960,0
2007,6,3.035,2.825,2.521,1.303,1.330,0.140,-1.008,0.908,3.833,2.381,0.304,1.148,0.400,6.610,-1.906,0
2007,7,3.112,2.860,2.596,1.352,1.383,0.170,-0.948,0.956,3.808,2.426,0.264,1.118,0.370,6.540,-1.679,0
2007,8,3.185,2.807,2.601,1.346,1.364,0.127,-0.761,1.023,3.568,2.474,0.206,0.888,0.320,6.530,-1.361,0
2007,9,3.254,2.724,2.553,1.303,1.320,0.087,-0.733,0.995,3.457,2.466,0.171,0.820,0.310,6.600,-1.218,0
2007,10,3.097,2.833,2.595,1.341,1.361,0.128,-0.786,1.023,3.619,2.467,0.238,0.914,0.290,6.600,-1.943,0
2007,11,3.076,2.870,2.533,1.284,1.297,0.061,-0.940,0.965,3.810,2.472,0.337,1.001,0.400,6.710,-2.170,0
2007,12,3.560,3.028,2.655,1.421,1.449,0.244,-0.833,1.098,3.861,2.411,0.373,1.077,0.480,6.690,-2.081,0
2008,1,3.479,3.015,2.679,1.448,1.492,0.306,-0.782,1.116,3.797,2.373,0.336,1.088,0.560,6.690,-1.965,0
2008,2,3.306,2.845,2.610,1.362,1.397,0.185,-0.765,1.040,3.610,2.425,0.235,0.950,0.480,6.720,-1.413,0
2008,3,3.076,2.678,2.457,1.271,1.292,0.126,-0.712,0.983,3.390,2.331,0.221,0.838,0.440,6.770,-1.110,0
2008,4,3.114,2.741,2.469,1.252,1.259,0.049,-0.797,0.972,3.538,2.420,0.272,0.846,0.410,6.730,-1.601,0
2008,5,2.980,2.843,2.514,1.276,1.285,0.056,-0.889,0.977,3.732,2.458,0.329,0.945,0.440,6.680,-2.070,0
2008,6,3.183,2.854,2.545,1.286,1.314,0.084,-1.047,0.903,3.901,2.461,0.309,1.131,0.470,6.630,-2.074,0
2008,7,3.178,2.879,2.628,1.360,1.398,0.169,-0.967,0.956,3.846,2.459,0.251,1.136,0.470,6.610,-1.845,0
2008,8,3.207,2.871,2.651,1.395,1.417,0.183,-0.748,1.062,3.619,2.468,0.220,0.931,0.460,6.670,-1.563,0
2008,9,3.094,2.730,2.545,1.315,1.325,0.106,-0.619,1.055,3.349,2.439,0.185,0.725,0.460,6.720,-1.059,0
2008,10,2.934,2.721,2.499,1.272,1.286,0.073,-0.769,0.976,3.490,2.426,0.222,0.842,0.430,6.720,-1.606,0
2008,11,3.156,2.940,2.601,1.379,1.401,0.202,-0.850,1.045,3.790,2.399,0.339,1.052,0.450,6.730,-2.027,0
2008,12,3.319,2.995,2.617,1.370,1.402,0.188,-0.972,1.011,3.967,2.429,0.378,1.160,0.470,6.690,-2.016,0
2009,1,3.296,2.889,2.560,1.313,1.338,0.116,-0.912,0.988,3.801,2.444,0.329,1.028,0.510,6.650,-2.102,0
2009,2,3.215,2.877,2.618,1.373,1.401,0.183,-0.714,1.082,3.591,2.435,0.259,0.897,0.530,6.720,-1.706,0
2009,3,3.071,2.785,2.581,1.361,1.374,0.168,-0.663,1.061,3.448,2.413,0.204,0.831,0.400,6.670,-1.411,0
2009,4,2.955,2.699,2.456,1.230,1.242,0.029,-0.872,0.913,3.571,2.427,0.243,0.901,0.400,6.690,-1.698,0
2009,5,3.147,2.872,2.533,1.303,1.318,0.104,-0.903,0.985,3.775,2.429,0.339,1.007,0.440,6.690,-1.952,0
2009,6,3.125,2.969,2.623,1.377,1.391,0.159,-0.864,1.052,3.833,2.464,0.346,1.023,0.460,6.640,-1.941,0
2009,7,3.143,2.836,2.578,1.330,1.356,0.135,-0.901,0.967,3.737,2.443,0.258,1.036,0.480,6.610,-1.884,0
2009,8,3.170,2.784,2.577,1.348,1.376,0.175,-0.751,1.016,3.535,2.402,0.207,0.926,0.470,6.690,-1.513,0
2009,9,3.150,2.743,2.557,1.339,1.350,0.143,-0.616,1.063,3.359,2.414,0.186,0.759,0.430,6.690,-1.012,0
2009,10,3.235,2.828,2.588,1.374,1.376,0.165,-0.573,1.127,3.401,2.423,0.240,0.738,0.380,6.700,-1.259,0
2009,11,3.490,3.017,2.672,1.462,1.474,0.276,-0.706,1.155,3.723,2.396,0.345,0.982,0.430,6.680,-1.501,0
2009,12,3.396,3.025,2.691,1.422,1.456,0.222,-0.931,1.047,3.956,2.469,0.334,1.153,0.430,6.620,-1.875,0
2010,1,3.644,3.275,2.958,1.662,1.697,0.436,-0.659,1.308,3.934,2.522,0.317,1.095,0.480,6.620,-1.639,0
2010,2,3.520,3.026,2.770,1.536,1.554,0.339,-0.526,1.250,3.552,2.431,0.256,0.865,0.430,6.660,-1.165,0
