Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1907,8,5.944,5.663,5.447,4.267,4.267,3.085,2.231,3.947,3.432,2.362,0.216,0.853,0.560,6.680,1.433,0
1907,9,5.883,5.614,5.441,4.273,4.267,3.094,2.384,3.999,3.230,2.347,0.174,0.710,0.430,6.720,1.890,0
1907,10,5.791,5.614,5.401,4.237,4.228,3.054,2.335,3.974,3.279,2.347,0.213,0.719,0.460,6.760,2.012,0
1907,11,5.913,5.758,5.447,4.289,4.270,3.097,2.219,3.989,3.539,2.350,0.311,0.878,0.470,6.740,1.433,0
1907,12,6.340,6.002,5.642,4.453,4.459,3.277,2.277,4.139,3.725,2.365,0.360,1.000,0.560,6.750,1.280,0
1908,1,6.492,5.962,5.654,4.459,4.474,3.295,2.252,4.107,3.710,2.359,0.308,1.042,0.620,6.690,1.280,0
1908,2,6.340,5.709,5.502,4.322,4.331,3.158,2.307,4.008,3.402,2.344,0.207,0.850,0.600,6.750,1.280,0
1908,3,6.066,5.624,5.453,4.298,4.292,3.130,2.429,4.026,3.195,2.323,0.171,0.701,0.510,6.750,1.737,0
1908,4,5.913,5.648,5.395,4.243,4.234,3.069,2.420,4.034,3.228,2.326,0.253,0.649,0.510,6.800,1.920,0
1908,5,5.944,5.733,5.416,4.261,4.258,3.100,2.307,4.020,3.426,2.316,0.317,0.792,0.520,6.790,1.554,0
1908,6,6.035,5.742,5.401,4.240,4.243,3.085,2.167,3.954,3.575,2.316,0.341,0.917,0.590,6.790,1.280,0
1908,7,6.005,5.736,5.432,4.261,4.264,3.100,2.158,3.947,3.578,2.332,0.305,0.942,0.550,6.710,1.189,0
1908,8,5.974,5.660,5.441,4.270,4.273,3.106,2.259,3.960,3.401,2.335,0.219,0.847,0.540,6.690,1.280,0
1908,9,6.035,5.557,5.389,4.228,4.225,3.057,2.341,3.949,3.216,2.332,0.168,0.716,0.530,6.770,1.585,0
1908,10,5.944,5.599,5.389,4.231,4.221,3.054,2.323,3.961,3.276,2.335,0.210,0.732,0.480,6.770,1.951,0
1908,11,6.066,5.840,5.520,4.349,4.349,3.179,2.280,4.060,3.560,2.341,0.320,0.899,0.510,6.810,1.402,0
1908,12,6.066,5.892,5.526,4.328,4.343,3.161,2.070,3.981,3.822,2.365,0.366,1.091,0.570,6.730,1.311,0
1909,1,6.370,5.998,5.697,4.505,4.517,3.338,2.237,4.117,3.761,2.359,0.302,1.100,0.610,6.700,1.554,0
1909,2,6.309,5.938,5.706,4.523,4.542,3.380,2.420,4.179,3.518,2.326,0.232,0.960,0.530,6.680,1.646,0
1909,3,6.066,5.633,5.450,4.289,4.292,3.130,2.320,3.976,3.313,2.320,0.183,0.811,0.520,6.700,1.890,0
1909,4,5.883,5.596,5.328,4.173,4.161,2.993,2.237,3.917,3.359,2.335,0.268,0.756,0.530,6.760,1.494,0
1909,5,5.883,5.694,5.355,4.191,4.188,3.021,2.124,3.909,3.570,2.335,0.338,0.896,0.560,6.800,1.311,0
1909,6,5.913,5.755,5.395,4.234,4.249,3.100,2.051,3.903,3.704,2.295,0.360,1.049,0.580,6.740,1.341,0
1909,7,5.974,5.724,5.413,4.246,4.261,3.112,2.115,3.920,3.609,2.301,0.311,0.997,0.540,6.570,1.402,0
1909,8,5.944,5.633,5.398,4.225,4.237,3.078,2.219,3.926,3.414,2.320,0.235,0.860,0.470,6.690,1.280,0
1909,9,6.035,5.557,5.407,4.231,4.225,3.045,2.365,3.961,3.192,2.362,0.149,0.680,0.470,6.680,1.829,0
1909,10,6.218,5.648,5.444,4.276,4.267,3.091,2.356,4.002,3.292,2.353,0.204,0.735,0.590,6.750,1.707,0
1909,11,6.370,5.889,5.578,4.414,4.420,3.264,2.326,4.107,3.563,2.313,0.311,0.939,0.520,6.800,1.524,0
1909,12,,5.867,5.520,4.356,4.371,3.219,2.091,3.979,3.776,2.301,0.347,1.128,0.600,6.850,1.128,0
1910,1,6.309,5.904,5.584,4.407,4.426,3.264,2.164,4.034,3.740,2.320,0.320,1.100,0.680,6.760,1.585,0
1910,2,6.157,5.706,5.471,4.298,4.316,3.164,2.207,3.957,3.499,2.307,0.235,0.957,0.640,6.700,1.463,0
1910,3,5.974,5.663,5.444,4.301,4.304,3.164,2.387,4.025,3.276,2.280,0.219,0.777,0.490,6.820,1.768,0
1910,4,6.096,5.663,5.383,4.234,4.237,3.091,2.304,3.984,3.359,2.292,0.280,0.786,0.570,6.820,1.554,0
1910,5,6.096,5.755,5.398,4.240,4.240,3.078,2.164,3.960,3.591,2.320,0.357,0.914,0.520,6.840,1.158,0
1910,6,6.035,5.745,5.401,4.234,4.246,3.088,2.039,3.892,3.706,2.313,0.344,1.049,0.570,6.770,0.975,0
1910,7,5.974,5.709,5.398,4.212,4.234,3.066,1.999,3.854,3.710,2.332,0.311,1.067,0.590,6.690,1.128,0
1910,8,5.883,5.569,5.358,4.176,4.191,3.024,2.088,3.829,3.481,2.335,0.210,0.936,0.510,6.670,1.341,0
1910,9,5.883,5.541,5.352,4.182,4.185,3.014,2.252,3.897,3.289,2.338,0.189,0.762,0.440,6.690,1.646,0
1910,10,5.974,5.630,5.386,4.228,4.225,3.063,2.271,3.950,3.359,2.323,0.244,0.792,0.420,6.760,1.402,0
1910,11,6.309,5.849,5.489,4.334,4.340,3.191,2.228,4.038,3.621,2.298,0.360,0.963,0.480,6.790,1.036,0
1910,12,6.096,5.843,5.465,4.292,4.313,3.161,1.996,3.920,3.847,2.304,0.378,1.164,0.440,6.770,0.945,0
1911,1,6.309,5.870,5.535,4.368,4.401,3.267,2.164,4.017,3.706,2.268,0.335,1.103,0.600,6.780,1.097,0
1911,2,6.157,5.660,5.428,4.276,4.295,3.161,2.188,3.924,3.472,2.268,0.232,0.972,0.570,6.770,1.585,0
1911,3,6.066,5.636,5.395,4.255,4.264,3.133,2.365,4.001,3.271,2.262,0.241,0.768,0.480,6.790,1.798,0
1911,4,5.913,5.611,5.352,4.203,4.203,3.054,2.301,3.956,3.310,2.298,0.259,0.753,0.450,6.800,1.341,0
1911,5,6.126,5.749,5.410,4.255,4.258,3.103,2.234,3.991,3.515,2.307,0.338,0.869,0.480,6.840,0.945,0
1911,6,6.005,5.721,5.389,4.212,4.228,3.066,2.042,3.881,3.679,2.323,0.332,1.024,0.520,6.740,1.006,0
1911,7,5.974,5.724,5.425,4.246,4.264,3.103,2.063,3.894,3.661,2.323,0.299,1.039,0.550,6.690,1.097,0
