#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-11-11 13:13:13 EST      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 12150800 SNOHOMISH RIVER NEAR MONROE, WA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		149182	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	12150800	00060	149182	1983	6	9221
USGS	12150800	00060	149182	1983	7	9655
USGS	12150800	00060	149182	1983	8	3021
USGS	12150800	00060	149182	1983	9	5339
USGS	12150800	00060	149182	1983	10	3112
USGS	12150800	00060	149182	1983	11	17390
USGS	12150800	00060	149182	1983	12	6783
USGS	12150800	00060	149182	1984	1	22000
USGS	12150800	00060	149182	1984	2	8719
USGS	12150800	00060	149182	1984	3	9821
USGS	12150800	00060	149182	1984	4	7597
USGS	12150800	00060	149182	1984	5	14780
USGS	12150800	00060	149182	1984	6	16850
USGS	12150800	00060	149182	1984	7	8652
USGS	12150800	00060	149182	1984	8	2885
USGS	12150800	00060	149182	1984	9	3143
USGS	12150800	00060	149182	1984	10	4361
USGS	12150800	00060	149182	1984	11	11860
USGS	12150800	00060	149182	1984	12	9086
USGS	12150800	00060	149182	1985	1	5137
USGS	12150800	00060	149182	1985	2	5089
USGS	12150800	00060	149182	1985	3	4859
USGS	12150800	00060	149182	1985	4	14550
USGS	12150800	00060	149182	1985	5	14660
USGS	12150800	00060	149182	1985	6	15720
USGS	12150800	00060	149182	1985	7	4807
USGS	12150800	00060	149182	1985	8	1994
USGS	12150800	00060	149182	1985	9	2998
USGS	12150800	00060	149182	1985	10	12090
USGS	12150800	00060	149182	1985	11	16710
USGS	12150800	00060	149182	1985	12	3966
USGS	12150800	00060	149182	1986	1	11560
USGS	12150800	00060	149182	1986	2	12560
USGS	12150800	00060	149182	1986	3	10440
USGS	12150800	00060	149182	1986	4	7120
USGS	12150800	00060	149182	1986	5	12690
USGS	12150800	00060	149182	1986	6	7624
USGS	12150800	00060	149182	1986	7	3995
USGS	12150800	00060	149182	1986	8	1756
USGS	12150800	00060	149182	1986	9	2486
USGS	12150800	00060	149182	1986	10	3691
USGS	12150800	00060	149182	1986	11	19380
USGS	12150800	00060	149182	1986	12	7946
USGS	12150800	00060	149182	1987	1	7366
USGS	12150800	00060	149182	1987	2	9003
USGS	12150800	00060	149182	1987	3	11900
USGS	12150800	00060	149182	1987	4	10360
