agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,12186000,00060,149376,1939,8,506
USGS,12186000,00060,149376,1939,9,291.1
USGS,12186000,00060,149376,1939,10,566.8
USGS,12186000,00060,149376,1939,11,870.5
USGS,12186000,00060,149376,1939,12,1795
USGS,12186000,00060,149376,1940,1,780.7
USGS,12186000,00060,149376,1940,2,913.9
USGS,12186000,00060,149376,1940,3,1083
USGS,12186000,00060,149376,1940,4,1160
USGS,12186000,00060,149376,1940,5,1834
USGS,12186000,00060,149376,1940,6,1136
USGS,12186000,00060,149376,1940,7,450.9
USGS,12186000,00060,149376,1940,8,260.9
USGS,12186000,00060,149376,1940,9,195.6
USGS,12186000,00060,149376,1940,10,1034
USGS,12186000,00060,149376,1940,11,711.5
USGS,12186000,00060,149376,1940,12,1067
USGS,12186000,00060,149376,1941,1,677.2
USGS,12186000,00060,149376,1941,2,521
USGS,12186000,00060,149376,1941,3,552
USGS,12186000,00060,149376,1941,4,840.5
USGS,12186000,00060,149376,1941,5,1162
USGS,12186000,00060,149376,1941,6,895.4
USGS,12186000,00060,149376,1941,7,396
USGS,12186000,00060,149376,1941,8,215.5
USGS,12186000,00060,149376,1941,9,749.3
USGS,12186000,00060,149376,1941,10,1441
USGS,12186000,00060,149376,1941,11,1030
USGS,12186000,00060,149376,1941,12,1395
USGS,12186000,00060,149376,1942,1,368.1
USGS,12186000,00060,149376,1942,2,368.9
USGS,12186000,00060,149376,1942,3,408.6
USGS,12186000,00060,149376,1942,4,1053
USGS,12186000,00060,149376,1942,5,1390
USGS,12186000,00060,149376,1942,6,1928
USGS,12186000,00060,149376,1942,7,1059
USGS,12186000,00060,149376,1942,8,336.1
USGS,12186000,00060,149376,1942,9,177.5
USGS,12186000,00060,149376,1942,10,276.1
USGS,12186000,00060,149376,1942,11,1186
USGS,12186000,00060,149376,1942,12,1047
USGS,12186000,00060,149376,1943,1,666.8
USGS,12186000,00060,149376,1943,2,669.5
USGS,12186000,00060,149376,1943,3,763.3
USGS,12186000,00060,149376,1943,4,1629
USGS,12186000,00060,149376,1943,5,1661
USGS,12186000,00060,149376,1943,6,2222
USGS,12186000,00060,149376,1943,7,1976
USGS,12186000,00060,149376,1943,8,604
USGS,12186000,00060,149376,1943,9,283.3
USGS,12186000,00060,149376,1943,10,399
USGS,12186000,00060,149376,1943,11,489.8
USGS,12186000,00060,149376,1943,12,986.1
USGS,12186000,00060,149376,1944,1,606.4
USGS,12186000,00060,149376,1944,2,494.7
USGS,12186000,00060,149376,1944,3,602.3
USGS,12186000,00060,149376,1944,4,814.1
USGS,12186000,00060,149376,1944,5,1501
USGS,12186000,00060,149376,1944,6,1419
USGS,12186000,00060,149376,1944,7,586.5
USGS,12186000,00060,149376,1944,8,261.7
USGS,12186000,00060,149376,1944,9,635
USGS,12186000,00060,149376,1944,10,599.7
USGS,12186000,00060,149376,1944,11,776.2
USGS,12186000,00060,149376,1944,12,807.9
USGS,12186000,00060,149376,1945,1,1381
USGS,12186000,00060,149376,1945,2,1139
